Role,Name,Length,Position,Information
justice,SOTOMAYOR,1,0.0,0.008928571428571428
justice,SCALIA,3,0.008928571428571428,0.026785714285714284
justice,ALITO,1,0.03571428571428571,0.008928571428571428
justice,SCALIA,4,0.044642857142857144,0.03571428571428571
justice,ALITO,1,0.08035714285714286,0.008928571428571428
justice,SCALIA,3,0.08928571428571429,0.026785714285714284
justice,ROBERTS,4,0.11607142857142858,0.03571428571428571
justice,SCALIA,4,0.15178571428571427,0.03571428571428571
justice,BREYER,1,0.1875,0.008928571428571428
justice,ALITO,5,0.19642857142857142,0.044642857142857144
justice,GINSBURG,1,0.24107142857142858,0.008928571428571428
justice,SCALIA,1,0.25,0.008928571428571428
justice,BREYER,1,0.25892857142857145,0.008928571428571428
justice,GINSBURG,5,0.26785714285714285,0.044642857142857144
justice,KENNEDY,5,0.3125,0.044642857142857144
justice,GINSBURG,8,0.35714285714285715,0.07142857142857142
justice,BREYER,1,0.42857142857142855,0.008928571428571428
justice,SOTOMAYOR,4,0.4375,0.03571428571428571
justice,ALITO,4,0.4732142857142857,0.03571428571428571
justice,ROBERTS,5,0.5089285714285714,0.044642857142857144
justice,SCALIA,4,0.5535714285714286,0.03571428571428571
justice,BREYER,3,0.5892857142857143,0.026785714285714284
justice,SCALIA,1,0.6160714285714286,0.008928571428571428
justice,SOTOMAYOR,2,0.625,0.017857142857142856
justice,GINSBURG,1,0.6428571428571429,0.008928571428571428
justice,BREYER,3,0.6517857142857143,0.026785714285714284
justice,ROBERTS,5,0.6785714285714286,0.044642857142857144
justice,SCALIA,1,0.7232142857142857,0.008928571428571428
justice,SOTOMAYOR,1,0.7321428571428571,0.008928571428571428
justice,GINSBURG,4,0.7410714285714286,0.03571428571428571
justice,KAGAN,1,0.7767857142857143,0.008928571428571428
justice,ROBERTS,1,0.7857142857142857,0.008928571428571428
justice,KENNEDY,1,0.7946428571428571,0.008928571428571428
justice,GINSBURG,2,0.8035714285714286,0.017857142857142856
justice,BREYER,2,0.8214285714285714,0.017857142857142856
justice,GINSBURG,1,0.8392857142857143,0.008928571428571428
justice,ROBERTS,1,0.8482142857142857,0.008928571428571428
justice,BREYER,1,0.8571428571428571,0.008928571428571428
justice,SOTOMAYOR,1,0.8660714285714286,0.008928571428571428
justice,GINSBURG,1,0.875,0.008928571428571428
justice,KAGAN,1,0.8839285714285714,0.008928571428571428
justice,SOTOMAYOR,4,0.8928571428571429,0.03571428571428571
justice,ROBERTS,2,0.9285714285714286,0.017857142857142856
justice,SOTOMAYOR,1,0.9464285714285714,0.008928571428571428
justice,SCALIA,2,0.9553571428571429,0.017857142857142856
justice,ROBERTS,2,0.9732142857142857,0.017857142857142856
