Role,Name,Follower Role,Follower Name,Ratio
justice,ALITO,justice,BREYER,0.25
justice,ALITO,justice,KENNEDY,0.0
justice,ALITO,justice,ROBERTS,0.0
justice,ALITO,justice,SCALIA,0.5
justice,ALITO,justice,SOTOMAYOR,0.25
justice,ALITO,justice,GINSBURG,0.0
justice,ALITO,justice,KAGAN,0.0
justice,KENNEDY,justice,ALITO,0.0
justice,KENNEDY,justice,BREYER,0.0
justice,KENNEDY,justice,ROBERTS,0.5
justice,KENNEDY,justice,SCALIA,0.0
justice,KENNEDY,justice,SOTOMAYOR,0.0
justice,KENNEDY,justice,GINSBURG,0.5
justice,KENNEDY,justice,KAGAN,0.0
justice,BREYER,justice,ALITO,0.0
justice,BREYER,justice,KENNEDY,0.0
justice,BREYER,justice,ROBERTS,0.142857142857
justice,BREYER,justice,SCALIA,0.428571428571
justice,BREYER,justice,SOTOMAYOR,0.0
justice,BREYER,justice,GINSBURG,0.428571428571
justice,BREYER,justice,KAGAN,0.0
justice,ROBERTS,justice,ALITO,0.142857142857
justice,ROBERTS,justice,KENNEDY,0.0
justice,ROBERTS,justice,BREYER,0.142857142857
justice,ROBERTS,justice,SCALIA,0.285714285714
justice,ROBERTS,justice,SOTOMAYOR,0.142857142857
justice,ROBERTS,justice,GINSBURG,0.142857142857
justice,ROBERTS,justice,KAGAN,0.142857142857
justice,SCALIA,justice,ALITO,0.222222222222
justice,SCALIA,justice,KENNEDY,0.0
justice,SCALIA,justice,ROBERTS,0.333333333333
justice,SCALIA,justice,BREYER,0.111111111111
justice,SCALIA,justice,SOTOMAYOR,0.222222222222
justice,SCALIA,justice,GINSBURG,0.111111111111
justice,SCALIA,justice,KAGAN,0.0
justice,SOTOMAYOR,justice,ALITO,0.0
justice,SOTOMAYOR,justice,KENNEDY,0.0
justice,SOTOMAYOR,justice,BREYER,0.285714285714
justice,SOTOMAYOR,justice,ROBERTS,0.285714285714
justice,SOTOMAYOR,justice,SCALIA,0.285714285714
justice,SOTOMAYOR,justice,GINSBURG,0.0
justice,SOTOMAYOR,justice,KAGAN,0.142857142857
justice,GINSBURG,justice,ALITO,0.125
justice,GINSBURG,justice,KENNEDY,0.25
justice,GINSBURG,justice,BREYER,0.25
justice,GINSBURG,justice,ROBERTS,0.0
justice,GINSBURG,justice,SCALIA,0.0
justice,GINSBURG,justice,SOTOMAYOR,0.375
justice,GINSBURG,justice,KAGAN,0.0
justice,KAGAN,justice,ALITO,0.0
justice,KAGAN,justice,KENNEDY,0.0
justice,KAGAN,justice,BREYER,0.0
justice,KAGAN,justice,ROBERTS,0.0
justice,KAGAN,justice,SCALIA,0.0
justice,KAGAN,justice,SOTOMAYOR,0.0
justice,KAGAN,justice,GINSBURG,1.0
