Role,Name,Noun,Count
justice,ALITO,claim,9
justice,ALITO,assistance,9
justice,ALITO,counsel,9
justice,ALITO,confession,5
justice,ALITO,money,3
justice,ALITO,argument,3
justice,ALITO,claims,3
justice,ALITO,time,3
justice,ALITO,situation,3
justice,ALITO,closing,3
justice,ALITO,concept,2
justice,ALITO,need,2
justice,ALITO,wiggins,2
justice,ALITO,court,2
justice,ALITO,spisak,2
justice,ALITO,things,2
justice,ALITO,iac,2
justice,ALITO,investigation,2
justice,ALITO,contexts,2
justice,ALITO,judgment,2
justice,ALITO,case,2
justice,ALITO,petitioner,2
justice,ALITO,opportunity,2
justice,ALITO,attorney,1
justice,ALITO,appealability,1
justice,ALITO,remand,1
justice,ALITO,yeah,1
justice,ALITO,hearing,1
justice,ALITO,sentencing,1
justice,ALITO,experts,1
justice,ALITO,follow-up,1
justice,ALITO,respect,1
justice,ALITO,litigation,1
justice,ALITO,errors,1
justice,ALITO,district,1
justice,ALITO,state,1
justice,ALITO,clause,1
justice,ALITO,rebuttal,1
justice,ALITO,exhaustion,1
justice,ALITO,predicate,1
justice,ALITO,'s,1
justice,ALITO,cross-appeal,1
justice,ALITO,confrontation,1
justice,ALITO,phase,1
justice,ALITO,loss,1
justice,ALITO,certificate,1
justice,ALITO,briefs,1
justice,ALITO,thing,1
justice,ALITO,relief,1
justice,ALITO,example,1
justice,ALITO,talk,1
other,SCHAFFER,court,40
other,SCHAFFER,state,27
other,SCHAFFER,judgment,25
other,SCHAFFER,coa,18
other,SCHAFFER,claim,18
other,SCHAFFER,federal,17
other,SCHAFFER,argument,17
other,SCHAFFER,case,14
other,SCHAFFER,appeal,12
other,SCHAFFER,punishment,12
other,SCHAFFER,petitioner,12
other,SCHAFFER,district,12
other,SCHAFFER,iac,11
other,SCHAFFER,counsel,11
other,SCHAFFER,hearing,10
other,SCHAFFER,evidence,8
other,SCHAFFER,government,7
other,SCHAFFER,assistance,7
other,SCHAFFER,prejudice,7
other,SCHAFFER,circuit,7
other,SCHAFFER,rights,7
other,SCHAFFER,history,7
other,SCHAFFER,order,7
other,SCHAFFER,cases,6
other,SCHAFFER,error,6
other,SCHAFFER,situation,6
other,SCHAFFER,thing,6
other,SCHAFFER,arguments,6
other,SCHAFFER,health,5
other,SCHAFFER,trial,5
other,SCHAFFER,appeals,5
other,SCHAFFER,appellee,5
other,SCHAFFER,support,5
other,SCHAFFER,cross-appeal,5
other,SCHAFFER,closing,5
other,SCHAFFER,habeas,5
other,SCHAFFER,performance,5
other,SCHAFFER,statute,5
other,SCHAFFER,relief,5
other,SCHAFFER,position,5
other,SCHAFFER,jurisdiction,4
other,SCHAFFER,background,4
other,SCHAFFER,retrial,4
other,SCHAFFER,right,4
other,SCHAFFER,issue,4
other,SCHAFFER,anything,4
other,SCHAFFER,claims,4
other,SCHAFFER,example,4
other,SCHAFFER,okay,4
other,SCHAFFER,time,4
other,SCHAFFER,rule,4
other,SCHAFFER,text,3
other,SCHAFFER,death,3
other,SCHAFFER,prisoner,3
other,SCHAFFER,rules,3
other,SCHAFFER,judge,3
other,SCHAFFER,merits,3
other,SCHAFFER,decision,3
other,SCHAFFER,correct,3
other,SCHAFFER,standard,3
other,SCHAFFER,railway,3
other,SCHAFFER,strickland,3
other,SCHAFFER,basis,3
other,SCHAFFER,review,3
other,SCHAFFER,courts,3
other,SCHAFFER,matter,3
other,SCHAFFER,phase,3
other,SCHAFFER,aedpa,3
other,SCHAFFER,things,3
other,SCHAFFER,opinions,2
other,SCHAFFER,sentence,2
other,SCHAFFER,allegations,2
other,SCHAFFER,rest,2
other,SCHAFFER,fifth,2
other,SCHAFFER,justice,2
other,SCHAFFER,admission,2
other,SCHAFFER,number,2
other,SCHAFFER,remedy,2
other,SCHAFFER,sand,2
other,SCHAFFER,verdict,2
other,SCHAFFER,defense,2
other,SCHAFFER,lawyer,2
other,SCHAFFER,speck,2
other,SCHAFFER,wiggins,2
other,SCHAFFER,favor,2
other,SCHAFFER,brief,2
other,SCHAFFER,everything,2
other,SCHAFFER,jury,2
other,SCHAFFER,theory,2
other,SCHAFFER,let,2
other,SCHAFFER,thank,2
other,SCHAFFER,reasons,2
other,SCHAFFER,confession,2
other,SCHAFFER,requirement,2
other,SCHAFFER,landscape,2
other,SCHAFFER,confidence,2
other,SCHAFFER,question,2
other,SCHAFFER,totality,2
other,SCHAFFER,life,2
other,SCHAFFER,part,2
other,SCHAFFER,circumstances,2
other,SCHAFFER,spisak,2
other,SCHAFFER,prosecutor,2
other,SCHAFFER,applicant,2
other,SCHAFFER,mind,2
other,SCHAFFER,denial,2
other,SCHAFFER,adverse,2
other,SCHAFFER,appellate,2
other,SCHAFFER,congress,2
other,SCHAFFER,effect,2
other,SCHAFFER,frap,2
other,SCHAFFER,law,2
other,SCHAFFER,response,2
other,SCHAFFER,scenario,2
other,SCHAFFER,doctor,2
other,SCHAFFER,thought,2
other,SCHAFFER,person,2
other,SCHAFFER,interpretation,1
other,SCHAFFER,help,1
other,SCHAFFER,pardon,1
other,SCHAFFER,move,1
other,SCHAFFER,petitioners,1
other,SCHAFFER,years,1
other,SCHAFFER,course,1
other,SCHAFFER,mistakes,1
other,SCHAFFER,thirds,1
other,SCHAFFER,line,1
other,SCHAFFER,row,1
other,SCHAFFER,dangerousness,1
other,SCHAFFER,exclusion,1
other,SCHAFFER,conclusions,1
other,SCHAFFER,petitioner-appellees,1
other,SCHAFFER,appellant,1
other,SCHAFFER,constitutes,1
other,SCHAFFER,citizen,1
other,SCHAFFER,policy,1
other,SCHAFFER,guilt/innocence,1
other,SCHAFFER,federalism,1
other,SCHAFFER,non,1
other,SCHAFFER,somebody,1
other,SCHAFFER,showing,1
other,SCHAFFER,kind,1
other,SCHAFFER,bulk,1
other,SCHAFFER,matters,1
other,SCHAFFER,courtroom,1
other,SCHAFFER,party,1
other,SCHAFFER,entity,1
other,SCHAFFER,day,1
other,SCHAFFER,alexander,1
other,SCHAFFER,radar,1
other,SCHAFFER,cause,1
other,SCHAFFER,comity,1
other,SCHAFFER,default,1
other,SCHAFFER,paper,1
other,SCHAFFER,guy,1
other,SCHAFFER,front,1
other,SCHAFFER,page,1
other,SCHAFFER,water,1
other,SCHAFFER,view,1
other,SCHAFFER,el,1
other,SCHAFFER,harm,1
other,SCHAFFER,pfeiffer,1
other,SCHAFFER,findings,1
other,SCHAFFER,people,1
other,SCHAFFER,efforts,1
other,SCHAFFER,paso,1
other,SCHAFFER,paragraph,1
other,SCHAFFER,discover,1
other,SCHAFFER,authority,1
other,SCHAFFER,constitute,1
other,SCHAFFER,awry,1
other,SCHAFFER,relates,1
other,SCHAFFER,errors,1
other,SCHAFFER,constitution,1
other,SCHAFFER,deficits,1
other,SCHAFFER,issues,1
other,SCHAFFER,body,1
other,SCHAFFER,notice,1
other,SCHAFFER,nightmare,1
other,SCHAFFER,circumstance,1
other,SCHAFFER,mr,1
other,SCHAFFER,story,1
other,SCHAFFER,lack,1
other,SCHAFFER,guise,1
other,SCHAFFER,step,1
other,SCHAFFER,extent,1
other,SCHAFFER,alone,1
other,SCHAFFER,consideration,1
other,SCHAFFER,trevino,1
other,SCHAFFER,understanding,1
other,SCHAFFER,lawsuit,1
other,SCHAFFER,blip,1
other,SCHAFFER,limits,1
other,SCHAFFER,stone,1
