word,type,pos,stemmed,priorpolarity
abandoned,weaksubj,adj,n,negative
abandonment,weaksubj,noun,n,negative
abandon,weaksubj,verb,y,negative
abase,strongsubj,verb,y,negative
abasement,strongsubj,anypos,y,negative
abash,strongsubj,verb,y,negative
abate,weaksubj,verb,y,negative
abdicate,weaksubj,verb,y,negative
aberration,strongsubj,adj,n,negative
aberration,strongsubj,noun,n,negative
abhor,strongsubj,anypos,y,negative
abhor,strongsubj,verb,y,negative
abhorred,strongsubj,adj,n,negative
abhorrence,strongsubj,noun,n,negative
abhorrent,strongsubj,adj,n,negative
abhorrently,strongsubj,anypos,n,negative
abhors,strongsubj,adj,n,negative
abhors,strongsubj,noun,n,negative
abidance,strongsubj,adj,n,positive
abidance,strongsubj,noun,n,positive
abide,strongsubj,anypos,y,positive
abject,strongsubj,adj,n,negative
abjectly,strongsubj,adverb,n,negative
abjure,weaksubj,verb,y,negative
abilities,weaksubj,noun,n,positive
ability,weaksubj,noun,n,positive
able,weaksubj,adj,n,positive
abnormal,weaksubj,adj,n,negative
abolish,weaksubj,verb,y,negative
abominable,strongsubj,adj,n,negative
abominably,strongsubj,anypos,n,negative
abominate,strongsubj,verb,y,negative
abomination,strongsubj,noun,n,negative
above,weaksubj,anypos,n,positive
above-average,weaksubj,adj,n,positive
abound,weaksubj,verb,y,positive
abrade,weaksubj,verb,y,negative
abrasive,strongsubj,adj,n,negative
abrupt,weaksubj,adj,n,negative
abscond,strongsubj,verb,y,negative
absence,weaksubj,noun,n,negative
absentee,weaksubj,anypos,y,negative
absent-minded,strongsubj,adj,n,negative
absolve,strongsubj,verb,y,positive
absolute,strongsubj,adj,n,neutral
absolutely,strongsubj,adj,n,neutral
absorbed,weaksubj,verb,n,neutral
absurd,strongsubj,adj,n,negative
absurdity,strongsubj,noun,n,negative
absurdly,strongsubj,anypos,n,negative
absurdness,strongsubj,noun,n,negative
abundant,weaksubj,adj,n,positive
abundance,weaksubj,noun,n,positive
abuse,weaksubj,adj,n,negative
abuse,weaksubj,noun,n,negative
abuse,strongsubj,verb,y,negative
abuses,weaksubj,adj,n,negative
abuses,weaksubj,noun,n,negative
abusive,strongsubj,adj,n,negative
abysmal,strongsubj,adj,n,negative
abysmally,strongsubj,anypos,n,negative
abyss,strongsubj,noun,n,negative
accede,strongsubj,verb,y,positive
accentuate,strongsubj,verb,y,neutral
accept,weaksubj,verb,y,positive
acceptance,weaksubj,noun,n,positive
acceptable,weaksubj,adj,n,positive
accessible,weaksubj,adj,n,positive
accidental,weaksubj,adj,n,negative
acclaim,strongsubj,noun,n,positive
acclaim,strongsubj,verb,y,positive
acclaimed,strongsubj,adj,n,positive
acclamation,strongsubj,anypos,y,positive
accolade,strongsubj,noun,n,positive
accolades,strongsubj,noun,n,positive
accommodative,weaksubj,adj,n,positive
accomplish,weaksubj,verb,y,positive
accomplishment,weaksubj,noun,n,positive
accomplishments,weaksubj,noun,n,positive
accord,weaksubj,verb,y,positive
accordance,weaksubj,noun,n,positive
accordantly,weaksubj,adverb,n,positive
accost,weaksubj,verb,y,negative
accountable,weaksubj,adj,n,negative
accurate,weaksubj,adj,n,positive
accurately,weaksubj,adj,n,positive
accursed,strongsubj,adj,n,negative
accusation,strongsubj,adj,n,negative
accusation,strongsubj,noun,n,negative
accusations,strongsubj,adj,n,negative
accusations,strongsubj,noun,n,negative
accuse,strongsubj,verb,y,negative
accuses,strongsubj,verb,n,negative
accusing,strongsubj,anypos,n,negative
accusingly,strongsubj,anypos,n,negative
acerbate,strongsubj,verb,y,negative
acerbic,strongsubj,adj,n,negative
acerbically,strongsubj,adverb,n,negative
ache,strongsubj,verb,y,negative
achievable,weaksubj,adj,n,positive
achieve,weaksubj,verb,y,positive
achievement,weaksubj,anypos,n,positive
achievements,weaksubj,anypos,n,positive
acknowledge,weaksubj,verb,y,positive
acknowledgement,weaksubj,noun,n,positive
acquit,weaksubj,verb,y,positive
acrid,strongsubj,adj,n,negative
acridly,strongsubj,anypos,n,negative
acridness,strongsubj,noun,n,negative
acrimonious,strongsubj,adj,n,negative
acrimoniously,strongsubj,anypos,n,negative
acrimony,strongsubj,noun,n,negative
active,weaksubj,adj,n,positive
activist,strongsubj,adj,n,neutral
activist,strongsubj,noun,n,neutral
actual,strongsubj,anypos,n,neutral
actuality,strongsubj,anypos,n,neutral
actually,strongsubj,anypos,n,neutral
acumen,strongsubj,noun,n,positive
adamant,strongsubj,adj,n,negative
adamantly,strongsubj,anypos,n,negative
adaptable,weaksubj,adj,n,positive
adaptability,weaksubj,noun,n,positive
adaptive,weaksubj,adj,n,positive
addict,weaksubj,noun,n,negative
addiction,weaksubj,noun,n,negative
adept,weaksubj,adj,n,positive
adeptly,weaksubj,adverb,n,positive
adequate,weaksubj,adj,n,positive
adherence,weaksubj,noun,n,positive
adherent,weaksubj,adj,n,positive
adhesion,weaksubj,noun,n,positive
admirable,strongsubj,adj,n,positive
admirer,strongsubj,noun,n,positive
admirable,strongsubj,anypos,n,positive
admirably,strongsubj,anypos,n,positive
admiration,strongsubj,noun,n,positive
admire,strongsubj,verb,y,positive
admiring,strongsubj,adj,n,positive
admiringly,strongsubj,adj,n,positive
admission,weaksubj,adj,n,positive
admission,weaksubj,noun,n,positive
admit,strongsubj,verb,y,positive
admittedly,strongsubj,anypos,y,positive
admonish,strongsubj,verb,y,negative
admonisher,strongsubj,anypos,y,negative
admonishingly,strongsubj,anypos,y,negative
admonishment,strongsubj,anypos,y,negative
admonition,strongsubj,noun,n,negative
adolescents,strongsubj,adj,n,neutral
adolescents,strongsubj,noun,n,neutral
adorable,strongsubj,adj,n,positive
adore,strongsubj,verb,y,positive
adored,strongsubj,adj,n,positive
adorer,strongsubj,anypos,y,positive
adorer,strongsubj,noun,n,positive
adoring,strongsubj,adj,n,positive
adoringly,strongsubj,anypos,n,positive
adrift,weaksubj,anypos,n,negative
adroit,strongsubj,adj,n,positive
adroitly,strongsubj,adj,n,positive
adulate,strongsubj,verb,y,positive
adulation,strongsubj,anypos,y,positive
adulatory,strongsubj,adj,n,positive
adulterate,strongsubj,verb,y,negative
adulterated,strongsubj,anypos,n,negative
adulteration,strongsubj,noun,n,negative
advanced,weaksubj,adj,n,positive
advantage,weaksubj,adj,n,positive
advantage,weaksubj,noun,n,positive
advantageous,strongsubj,adj,n,positive
advantages,weaksubj,adj,n,positive
advantages,weaksubj,noun,n,positive
adventure,weaksubj,adj,n,positive
adventure,weaksubj,noun,n,positive
adventuresome,strongsubj,noun,n,positive
adventurism,strongsubj,noun,n,positive
adventurous,weaksubj,adj,n,positive
adversarial,weaksubj,adj,n,negative
adversary,weaksubj,noun,y,negative
adverse,weaksubj,adj,n,negative
adversity,strongsubj,noun,n,negative
advice,weaksubj,adj,n,positive
advice,weaksubj,noun,n,positive
advisable,weaksubj,noun,n,positive
advocate,strongsubj,verb,y,positive
advocacy,strongsubj,noun,n,positive
affable,strongsubj,adj,n,positive
affability,weaksubj,noun,n,positive
affably,weaksubj,adverb,n,positive
affect,weaksubj,verb,y,neutral
affectation,weaksubj,noun,n,negative
affected,strongsubj,adj,n,neutral
affection,strongsubj,adj,n,positive
affection,strongsubj,noun,n,positive
affectionate,strongsubj,adj,n,positive
affinity,weaksubj,noun,n,positive
affirm,strongsubj,verb,y,positive
affirmation,strongsubj,adj,n,positive
affirmation,strongsubj,noun,n,positive
affirmative,weaksubj,noun,n,positive
afflict,weaksubj,verb,y,negative
affliction,weaksubj,noun,n,negative
afflictive,strongsubj,adj,n,negative
affluent,weaksubj,adj,n,positive
affluence,weaksubj,noun,n,positive
afford,weaksubj,verb,y,positive
affordable,weaksubj,adj,n,positive
affront,strongsubj,noun,n,negative
affront,strongsubj,verb,y,negative
afloat,weaksubj,adj,n,positive
afraid,strongsubj,adj,n,negative
against,weaksubj,anypos,n,negative
aggravate,strongsubj,verb,y,negative
aggravating,strongsubj,adj,n,negative
aggravation,strongsubj,noun,n,negative
aggression,strongsubj,adj,n,negative
aggression,strongsubj,noun,n,negative
aggressive,strongsubj,anypos,y,negative
aggressiveness,strongsubj,noun,n,negative
aggressor,strongsubj,noun,n,negative
aggrieve,strongsubj,verb,y,negative
aggrieved,strongsubj,adj,n,negative
aghast,strongsubj,adj,n,negative
agile,weaksubj,adj,n,positive
agilely,weaksubj,adverb,n,positive
agility,weaksubj,noun,n,positive
agitate,strongsubj,verb,y,negative
agitated,strongsubj,adj,n,negative
agitation,strongsubj,noun,n,negative
agitator,strongsubj,noun,n,negative
agonies,strongsubj,noun,n,negative
agonize,strongsubj,verb,y,negative
agonizing,strongsubj,adj,n,negative
agonizing,strongsubj,anypos,y,negative
agonizingly,strongsubj,anypos,n,negative
agony,strongsubj,noun,n,negative
agree,strongsubj,verb,y,positive
agreeability,strongsubj,anypos,y,positive
agreeable,weaksubj,adj,n,positive
agreeable,strongsubj,anypos,y,positive
agreeableness,strongsubj,anypos,y,positive
agreeably,strongsubj,anypos,y,positive
agreement,weaksubj,adj,n,positive
agreement,weaksubj,noun,n,positive
aha,strongsubj,anypos,y,neutral
ail,weaksubj,noun,n,negative
ail,weaksubj,verb,y,negative
ailment,weaksubj,noun,n,negative
aimless,strongsubj,adj,n,negative
air,strongsubj,verb,y,neutral
airs,weaksubj,adj,n,negative
airs,weaksubj,noun,n,negative
alarm,weaksubj,adj,n,negative
alarm,weaksubj,verb,y,negative
alarmed,strongsubj,adj,n,negative
alarming,strongsubj,adj,n,negative
alarmingly,strongsubj,anypos,n,negative
alas,strongsubj,anypos,y,negative
alert,weaksubj,adj,n,neutral
alienate,weaksubj,verb,y,negative
alienated,weaksubj,adj,n,negative
alienation,weaksubj,noun,n,negative
all-time,weaksubj,adj,n,neutral
all-time,weaksubj,noun,n,neutral
allay,strongsubj,verb,y,positive
allegation,strongsubj,anypos,n,negative
allegations,strongsubj,adj,n,negative
allege,weaksubj,verb,n,negative
allegations,strongsubj,noun,n,negative
allegorize,strongsubj,verb,y,neutral
allergic,weaksubj,adj,n,negative
alleviate,weaksubj,verb,y,positive
alliance,strongsubj,anypos,n,neutral
alliances,strongsubj,adj,n,neutral
alliances,strongsubj,noun,n,neutral
allow,weaksubj,verb,y,positive
allowable,weaksubj,adj,n,positive
allure,strongsubj,verb,y,positive
allure,strongsubj,noun,n,positive
alluring,strongsubj,anypos,n,positive
alluringly,strongsubj,anypos,n,positive
allusion,strongsubj,adj,n,neutral
allusion,strongsubj,noun,n,neutral
allusions,strongsubj,anypos,n,neutral
ally,strongsubj,noun,y,positive
almighty,strongsubj,adj,n,positive
aloof,strongsubj,adj,n,negative
altercation,weaksubj,noun,n,negative
although,weaksubj,anypos,y,negative
altogether,strongsubj,anypos,n,neutral
altruist,strongsubj,noun,n,positive
altruistic,strongsubj,adj,n,positive
altruistically,strongsubj,adj,n,positive
amaze,strongsubj,verb,y,positive
amazed,strongsubj,adj,n,positive
amazement,strongsubj,noun,n,positive
amazing,strongsubj,adj,n,positive
amazing,strongsubj,anypos,y,positive
amazingly,strongsubj,anypos,n,positive
ambiguous,strongsubj,adj,n,negative
ambiguity,strongsubj,noun,n,negative
ambitious,weaksubj,adj,n,positive
ambitious,weaksubj,noun,n,positive
ambitiously,weaksubj,anypos,y,positive
ambivalence,strongsubj,anypos,y,negative
ambivalent,strongsubj,adj,n,negative
ambivalent,strongsubj,noun,n,negative
ambush,weaksubj,noun,n,negative
ambush,weaksubj,verb,y,negative
ameliorate,strongsubj,verb,y,positive
amenable,strongsubj,adj,n,positive
amenity,weaksubj,noun,n,positive
amiability,strongsubj,noun,n,positive
amiabily,strongsubj,adverb,n,positive
amiable,strongsubj,adj,n,positive
amicability,strongsubj,noun,n,positive
amicable,strongsubj,adj,n,positive
amicably,strongsubj,adverb,n,positive
amiss,strongsubj,anypos,n,negative
amity,weaksubj,adj,n,positive
amity,weaksubj,noun,n,positive
amnesty,weaksubj,noun,n,positive
amour,strongsubj,noun,n,positive
ample,weaksubj,adj,n,positive
amply,weaksubj,adverb,n,positive
amplify,weaksubj,verb,y,neutral
amputate,weaksubj,verb,y,negative
amuse,strongsubj,verb,y,positive
amusement,strongsubj,adj,n,positive
amusement,strongsubj,noun,n,positive
amusing,strongsubj,adj,n,positive
amusing,strongsubj,anypos,y,positive
amusingly,strongsubj,anypos,y,positive
analytical,weaksubj,adj,n,neutral
anarchism,strongsubj,noun,n,negative
anarchist,strongsubj,noun,n,negative
anarchistic,strongsubj,adj,n,negative
anarchy,strongsubj,noun,n,negative
anemic,weaksubj,adj,n,negative
angel,weaksubj,noun,n,positive
angelic,strongsubj,adj,n,positive
anger,strongsubj,adj,n,negative
anger,strongsubj,noun,n,negative
anger,strongsubj,verb,y,negative
angrily,strongsubj,anypos,y,negative
angriness,strongsubj,anypos,y,negative
angry,strongsubj,adj,n,negative
anguish,strongsubj,noun,n,negative
anguish,strongsubj,verb,y,negative
annihilate,strongsubj,verb,y,negative
annihilation,strongsubj,noun,n,negative
animated,weaksubj,adj,n,positive
animosity,strongsubj,noun,n,negative
annoy,strongsubj,verb,y,negative
annoyance,strongsubj,noun,n,negative
annoyed,strongsubj,adj,n,negative
annoying,strongsubj,adj,n,negative
annoying,strongsubj,anypos,y,negative
annoyingly,strongsubj,anypos,n,negative
anomalous,weaksubj,adj,n,negative
anomaly,weaksubj,noun,n,negative
antagonism,strongsubj,noun,n,negative
antagonist,weaksubj,noun,n,negative
antagonistic,strongsubj,adj,n,negative
antagonize,strongsubj,verb,y,negative
anti-,strongsubj,noun,n,negative
anti-American,strongsubj,adj,n,negative
anti-American,strongsubj,noun,n,negative
anti-Israeli,strongsubj,adj,n,negative
anti-Israeli,strongsubj,noun,n,negative
anti-Semites,strongsubj,adj,n,negative
anti-Semites,strongsubj,noun,n,negative
anti-US,strongsubj,adj,n,negative
anti-US,strongsubj,noun,n,negative
anti-occupation,strongsubj,adj,n,negative
anti-occupation,strongsubj,noun,n,negative
anti-proliferation,strongsubj,adj,n,negative
anti-proliferation,strongsubj,noun,n,negative
anti-social,strongsubj,adj,n,negative
anti-white,strongsubj,adj,n,negative
anti-white,strongsubj,noun,n,negative
antipathy,strongsubj,noun,n,negative
antiquated,strongsubj,adj,n,negative
antithetical,strongsubj,adj,n,negative
antithetical,strongsubj,noun,n,negative
anxieties,strongsubj,noun,n,negative
anxiety,strongsubj,noun,n,negative
anxious,strongsubj,anypos,n,negative
anxiously,strongsubj,anypos,n,negative
anxiousness,strongsubj,noun,n,negative
anyhow,strongsubj,anypos,y,neutral
anyway,strongsubj,anypos,y,neutral
anyways,strongsubj,anypos,y,neutral
apathetic,strongsubj,adj,n,negative
apathetic,strongsubj,noun,n,negative
apathetically,strongsubj,adverb,n,negative
apathy,strongsubj,noun,n,negative
ape,strongsubj,verb,y,negative
apocalypse,strongsubj,noun,n,negative
apocalyptic,strongsubj,adj,n,negative
apologist,strongsubj,adj,n,negative
apologist,strongsubj,noun,n,negative
apologists,strongsubj,adj,n,negative
apologists,strongsubj,noun,n,negative
apostle,strongsubj,adj,n,positive
apostle,strongsubj,noun,n,positive
apotheosis,strongsubj,adj,n,positive
apotheosis,strongsubj,noun,n,positive
