docName,dirName,idx,type,startByte,endByte,wordLen,text,intensity,polarity,expression-intensity,attitude-type,attitude-uncertain
13.40.05-15087,20010620,75,GATE_expressive-subjectivity,718,748,30.0,suffering from tick bite fever,medium,neutral,,,
13.40.05-15087,20010620,24,GATE_direct-subjective,151,170,19.0,would probably know,low,neutral,low,,
13.40.05-15087,20010620,20,GATE_direct-subjective,594,598,4.0,said,neutral,,neutral,,
13.40.05-15087,20010620,19,GATE_expressive-subjectivity,633,654,21.0,would be negative too,medium,neutral,,,
13.40.05-15087,20010620,16,GATE_direct-subjective,671,682,11.0,his opinion,low,neutral,low,,
13.40.05-15087,20010620,15,GATE_direct-subjective,850,861,11.0,complaining,medium,negative,medium,,
13.40.05-15087,20010620,7,GATE_attitude,151,170,19.0,would probably know,low,,,other-attitude,
13.40.05-15087,20010620,5,GATE_attitude,633,654,21.0,would be negative too,low,,,arguing-pos,
13.40.05-15087,20010620,3,GATE_attitude,671,748,77.0,his opinion that the patient -- a woman -- was suffering from tick bite fever,low,,,arguing-pos,
13.40.05-15087,20010620,1,GATE_attitude,850,864,14.0,complaining of,low-medium,,,sentiment-neg,
23.46.20-17835,20010627,58,GATE_attitude,1782,1959,177.0,"It is believed that sand from northern areas, especially the Inner Mongolia Autonomous Region, and floating dust from the city's uncovered construction sites are the main causes",low-medium,,,arguing-pos,
23.46.20-17835,20010627,49,GATE_attitude,1488,1516,28.0,are also being encouraged to,low-medium,,,sentiment-pos,
23.46.20-17835,20010627,48,GATE_direct-subjective,1785,1796,11.0,is believed,low,neutral,low,,
23.46.20-17835,20010627,28,GATE_direct-subjective,1488,1513,25.0,are also being encouraged,low,positive,low,,
23.46.20-17835,20010627,26,GATE_expressive-subjectivity,1828,1838,10.0,especially,low,neutral,,,
00.48.42-17806,20010630,127,GATE_expressive-subjectivity,650,656,6.0,urgent,medium,neutral,,,
00.48.42-17806,20010630,123,GATE_expressive-subjectivity,3056,3069,13.0,just a signal,low,neutral,,,
00.48.42-17806,20010630,121,GATE_direct-subjective,3444,3458,14.0,are determined,low,neutral,low,,
00.48.42-17806,20010630,119,GATE_expressive-subjectivity,4035,4053,18.0,failing to support,low,negative,,,
00.48.42-17806,20010630,95,GATE_expressive-subjectivity,342,384,42.0,it had to happen and the sooner the better,medium,uncertain-positive,,,
00.48.42-17806,20010630,89,GATE_direct-subjective,1412,1452,40.0,had until the last minute been uncertain,low,neutral,low,,
00.48.42-17806,20010630,75,GATE_direct-subjective,4520,4537,17.0,desperately needs,high,negative,high,,
00.48.42-17806,20010630,65,GATE_expressive-subjectivity,3459,3465,6.0,to win,low,positive,,,
00.48.42-17806,20010630,63,GATE_expressive-subjectivity,3560,3579,19.0,many years of decay,low,negative,,,
00.48.42-17806,20010630,61,GATE_expressive-subjectivity,3884,3901,17.0,no longer a dream,medium,neutral,,,
00.48.42-17806,20010630,59,GATE_expressive-subjectivity,3941,3953,12.0,no quick fix,low,negative,,,
00.48.42-17806,20010630,57,GATE_expressive-subjectivity,4071,4103,32.0,struggles to break with the past,medium,neutral,,,
00.48.42-17806,20010630,51,GATE_direct-subjective,3150,3158,8.0,recalled,neutral,,neutral,,
00.48.42-17806,20010630,43,GATE_direct-subjective,262,270,8.0,is happy,medium,negative,medium,,
00.48.42-17806,20010630,41,GATE_direct-subjective,979,989,10.0,would need,low,neutral,low,,
00.48.42-17806,20010630,39,GATE_expressive-subjectivity,2490,2498,8.0,symbolic,low,neutral,,,
00.48.42-17806,20010630,37,GATE_expressive-subjectivity,3419,3435,16.0,long and painful,medium,negative,,,
00.48.42-17806,20010630,35,GATE_expressive-subjectivity,3909,3922,13.0,now a reality,low,positive,,,
00.48.42-17806,20010630,19,GATE_expressive-subjectivity,2518,2528,10.0,fully back,low,positive,,,
00.48.42-17806,20010630,11,GATE_expressive-subjectivity,3028,3052,24.0,to be brought to justice,low,positive,,,
00.48.42-17806,20010630,9,GATE_expressive-subjectivity,4248,4285,37.0,something which we dared not hope for,medium,neutral,,,
00.48.42-17806,20010630,3,GATE_expressive-subjectivity,255,270,15.0,Nobody is happy,low,negative,,,
00.48.42-17806,20010630,122,GATE_expressive-subjectivity,3310,3336,26.0,a very complicated process,low,negative,,,
00.48.42-17806,20010630,120,GATE_expressive-subjectivity,3753,3770,17.0,firm and decisive,low,positive,,,
00.48.42-17806,20010630,118,GATE_direct-subjective,4267,4285,18.0,dared not hope for,medium,neutral,medium,,
00.48.42-17806,20010630,104,GATE_direct-subjective,3533,3537,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,102,GATE_direct-subjective,433,437,4.0,told,neutral,,neutral,,
00.48.42-17806,20010630,100,GATE_direct-subjective,4018,4021,3.0,But,medium,,,,
00.48.42-17806,20010630,90,GATE_expressive-subjectivity,2660,2687,27.0,to make some bold decisions,low,uncertain-positive,,,
00.48.42-17806,20010630,84,GATE_direct-subjective,2652,2659,7.0,decided,low,neutral,low,,
00.48.42-17806,20010630,82,GATE_expressive-subjectivity,2958,2981,23.0,had played a major role,low,neutral,,,
00.48.42-17806,20010630,80,GATE_direct-subjective,4436,4440,4.0,told,neutral,,neutral,,
00.48.42-17806,20010630,78,GATE_direct-subjective,559,569,10.0,was hoping,medium,positive,medium,,
00.48.42-17806,20010630,70,GATE_expressive-subjectivity,3197,3234,37.0,a decade of dramatic economic decline,medium,negative,,,
00.48.42-17806,20010630,68,GATE_expressive-subjectivity,3349,3366,17.0,almost completely,low,neutral,,,
00.48.42-17806,20010630,66,GATE_direct-subjective,2805,2809,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,62,GATE_direct-subjective,2458,2462,4.0,said,neutral,,neutral,,
00.48.42-17806,20010630,48,GATE_direct-subjective,2877,2882,5.0,added,neutral,,neutral,,
00.48.42-17806,20010630,167,GATE_expressive-subjectivity,2612,2640,28.0,that's very important for us,medium,neutral,,,
00.48.42-17806,20010630,38,GATE_direct-subjective,3086,3105,19.0,is ready to respect,medium,positive,medium,,
00.48.42-17806,20010630,36,GATE_expressive-subjectivity,3545,3559,14.0,suffering from,low,negative,,,
00.48.42-17806,20010630,34,GATE_expressive-subjectivity,4141,4195,54.0,"The possibility of a democratic, stable and prosperous",low,positive,,,
