positiv,negativ,active,passive,affil,hostile,strong,power,weak,submit,yes,no,negate,intrj,pleasur,pain,feel,need,persist,entry,othtags,type,pos,stemmed,priorpolarity
,negativ,,,,,,,weak,,,,,,,,,,,abandon,supv,weaksubj,verb,y,negative
,negativ,,,,,,,weak,,,,,,,,,,,abandonment,noun,weaksubj,noun,n,negative
,negativ,,passive,,,,,,,,,,,,,,,,abate,supv,weaksubj,verb,y,negative
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abdicate,supv,weaksubj,verb,y,negative
,negativ,,passive,,hostile,,,,,,,,,,,,,,abhor,supv,strongsubj,anypos,y,negative
,negativ,,passive,,hostile,,,,,,,,,,,,,,abhor,supv,strongsubj,verb,y,negative
positiv,,active,,affil,,,,,,,,,,,,,,,abide,supv,strongsubj,anypos,y,positive
positiv,,,,,,strong,,,,,,,,,,,,,ability,noun,weaksubj,noun,n,positive
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abject,modif,strongsubj,adj,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,able,modif,weaksubj,adj,n,positive
,negativ,,,,,,,,,,,,,,,,,,abnormal,modif,weaksubj,adj,n,negative
,negativ,active,,,hostile,strong,power,,,,,,,,,,,,abolish,supv,weaksubj,verb,y,negative
,negativ,,,,,strong,,,,,,,,,,,,,abominable,modif,strongsubj,adj,n,negative
positiv,,,passive,,,,,,,,,,,,,,,,abound,supv,weaksubj,verb,y,positive
,negativ,,,,hostile,strong,,,,,,,,,,,,,abrasive,modif,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,abrupt,modif,weaksubj,adj,n,negative
,negativ,active,,,hostile,,,weak,submit,,,,,,,,,,abscond,supv,strongsubj,verb,y,negative
,negativ,,,,,,,weak,,,,,,,,,,,absence,noun,weaksubj,noun,n,negative
,negativ,,passive,,,,,weak,,,,,,,,,,,absent-minded,modif,strongsubj,adj,n,negative
,negativ,,,,hostile,,,weak,,,,,,,,,,,absentee,noun,weaksubj,anypos,y,negative
,,,,,,strong,,,,,,,,,,,,,absolute,modif,strongsubj,adj,n,neutral
,,,,,,strong,,,,yes,,,,,,,,,absolute,ly,strongsubj,adj,n,neutral
positiv,,active,,,,,,,,,,,,,,,,,absolve,supv,strongsubj,verb,y,positive
,negativ,,,,,,,,,,,,,,,,,,absurd,modif,strongsubj,adj,n,negative
,negativ,,,,,,,,,,,,,,,,,,absurdity,noun,strongsubj,noun,n,negative
positiv,,,,,,strong,,,,,,,,,,,,,abundance,noun,weaksubj,noun,n,positive
positiv,,,,,,strong,,,,,,,,,,,,,abundant,modif,weaksubj,adj,n,positive
,negativ,active,,,hostile,,,,,,,,,,,,,,abuse,noun,weaksubj,adj,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,abuse,noun,weaksubj,noun,n,negative
,negativ,active,,,hostile,,,,,,,,,,,,,,abuse,noun,strongsubj,verb,y,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,abuse,supv,weaksubj,adj,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,abuse,supv,weaksubj,noun,n,negative
,negativ,active,,,hostile,strong,,,,,,,,,,,,,abuse,supv,strongsubj,verb,y,negative
,negativ,,,,,,,,,,,,,,,,,,abyss,noun,strongsubj,noun,n,negative
positiv,,active,,affil,,,,,,,,,,,,,,,accede,supv,strongsubj,verb,y,positive
positiv,,active,,,,,,,,,,,,,,,,,accentuate,supv,strongsubj,verb,y,neutral
positiv,,,passive,,,,,,submit,,,,,,,,,,accept,supv,weaksubj,verb,y,positive
positiv,,,,,,,,,,,,,,,,,,,acceptable,modif,weaksubj,adj,n,positive
positiv,,,passive,affil,,,,,,,,,,,,,,,acceptance,noun,weaksubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,accessible,modif,weaksubj,adj,n,positive
positiv,,,,,,,,,,,,,,,,,,,acclaim,noun,strongsubj,noun,n,positive
positiv,,,,,,,,,,,,,,,,,,,acclaim,noun,strongsubj,verb,y,positive
