,feature,pos=0,pos>1,pos-features,neg=0,neg>1,neg-features,neutral=0,neutral>1,neutral-features,total-pos,total-neg,total-neutral
0,ngram_2_negationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
1,negativCountweaksubj,1086,187,4,962,311,5,1058,215,5,1273,1273,1273
2,ngram_3_weakpriorpolaritynegative,1253,20,4,1233,40,4,1259,14,3,1273,1273,1273
3,negateAfter,1271,2,2,1267,6,2,1269,4,2,1273,1273,1273
4,positivCountstrongsubj,898,375,5,1084,189,4,1038,235,4,1273,1273,1273
5,passiveAfter,1243,30,2,1202,71,2,1210,63,2,1273,1273,1273
6,activeCountweaksubj,1067,206,4,1100,173,4,1123,150,4,1273,1273,1273
7,pos_ngram_4_A.D.JN.O.U.Nnegationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
8,priorpolaritybothCountAfter,1273,0,1,1272,1,2,1272,1,2,1273,1273,1273
9,ngram_4_negativpriorpolaritypositive,1168,105,7,1073,200,9,1161,112,8,1273,1273,1273
10,positivCountweaksubj,912,361,4,1039,234,4,1028,245,5,1273,1273,1273
11,noCountAfter,1271,2,3,1263,10,2,1267,6,2,1273,1273,1273
12,priorpolarityCountbothstrongsubj,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
13,activeAfter,1233,40,2,1183,90,2,1205,68,2,1273,1273,1273
14,ngram_2_weakpriorpolaritynegative,1262,11,2,1256,17,3,1262,11,2,1273,1273,1273
15,priorpolarityCountnegative,1082,191,4,804,469,5,1031,242,5,1273,1273,1273
16,noCountBefore,1272,1,2,1272,1,2,1268,5,2,1273,1273,1273
17,strongCount,846,427,5,968,305,4,983,290,4,1273,1273,1273
18,ngram_2_activepriorpolaritypositive,1213,60,3,1235,38,3,1235,38,3,1273,1273,1273
19,priorpolaritybothBefore,1273,0,2,1272,1,2,1273,0,2,1273,1273,1273
20,negations,1193,80,2,1089,184,2,1095,178,2,1273,1273,1273
21,priorpolarityCountpositive,632,641,6,903,370,5,844,429,5,1273,1273,1273
22,priorpolarityCountnegativestrongsubj,1208,65,3,1027,246,4,1196,77,3,1273,1273,1273
23,morePositiveThanNegativeWeak,926,347,2,1090,183,2,1067,206,2,1273,1273,1273
24,pos_ngram_5_A.D.JN.O.U.Nnegationspriorpolaritypositive,1273,0,1,1273,0,1,1273,0,1,1273,1273,1273
25,moreNegativeThanNeutral,1116,157,2,855,418,2,1071,202,2,1273,1273,1273
26,ngram_2_negativpriorpolaritynegative,1248,25,3,1170,103,4,1236,37,4,1273,1273,1273
27,hostileCount,1177,96,3,1056,217,4,1152,121,4,1273,1273,1273
28,pos_ngram_5_JJ.JJR.JJSNN.NNP.NNSpriorpolaritynegative,1272,1,2,1253,20,5,1269,4,4,1273,1273,1273
29,pos_ngram_5_JJ.JJR.JJS.RB.RBR.RBSNN.NNP.NNSpriorpolarityneutral,1264,9,4,1271,2,3,1267,6,5,1273,1273,1273
30,priorpolarityneutralBefore,1257,16,2,1251,22,2,1246,27,2,1273,1273,1273
31,hostileCountweaksubj,1191,82,3,1114,159,4,1160,113,4,1273,1273,1273
32,passiveCountAfter,1243,30,4,1202,71,5,1210,63,5,1273,1273,1273
33,priorpolarityneutralCountAfter,1249,24,4,1235,38,4,1227,46,4,1273,1273,1273
34,activeBefore,1252,21,2,1220,53,2,1212,61,2,1273,1273,1273
35,activeCountstrongsubj,1185,88,3,1222,51,2,1248,25,2,1273,1273,1273
36,Allstrongsubj,810,463,5,859,414,5,928,345,5,1273,1273,1273
37,ngram_2_hostilepriorpolaritynegative,1261,12,2,1213,60,3,1250,23,3,1273,1273,1273
38,pos_ngram_5_JJ.JJR.JJS.RB.RBR.RBSNN.NNP.NNSactive,1256,17,6,1262,11,5,1267,6,5,1273,1273,1273
39,yesBefore,1273,0,2,1270,3,2,1269,4,2,1273,1273,1273
40,morePositiveThanNeutral,706,567,2,939,334,2,912,361,2,1273,1273,1273
