id,rating,set,text,type
0,3,1.0,,-1.0
10000,4,1.0,,-1.0
10001,4,1.0,,-1.0
10002,1,1.0,,-1.0
10003,1,1.0,,-1.0
10004,3,1.0,,-1.0
10005,3,1.0,,-1.0
10006,4,1.0,,-1.0
10007,1,1.0,,-1.0
10008,2,1.0,,-1.0
10009,1,1.0,,-1.0
1000,4,1.0,,-1.0
10010,3,1.0,,-1.0
10011,3,1.0,,-1.0
10012,1,1.0,,-1.0
10013,1,1.0,,-1.0
10014,2,1.0,,-1.0
10015,2,1.0,,-1.0
10016,4,1.0,,-1.0
10017,4,1.0,,-1.0
10018,3,1.0,,-1.0
10019,3,1.0,,-1.0
1001,4,1.0,,-1.0
10020,3,1.0,,-1.0
10021,2,1.0,,-1.0
10022,4,1.0,,-1.0
10023,1,1.0,,-1.0
10024,3,1.0,,-1.0
10025,1,1.0,,-1.0
10026,2,1.0,,-1.0
10027,1,1.0,,-1.0
10028,2,1.0,,-1.0
10029,1,1.0,,-1.0
1002,3,1.0,,-1.0
10030,1,1.0,,-1.0
10031,2,1.0,,-1.0
10032,4,1.0,,-1.0
10033,1,1.0,,-1.0
10034,1,1.0,,-1.0
10035,1,1.0,,-1.0
10036,1,1.0,,-1.0
10037,1,1.0,,-1.0
10038,3,1.0,,-1.0
10039,1,1.0,,-1.0
1003,3,1.0,,-1.0
10040,2,1.0,,-1.0
10041,1,1.0,,-1.0
10042,1,1.0,,-1.0
10043,1,1.0,,-1.0
10044,1,1.0,,-1.0
10045,1,1.0,,-1.0
10046,1,1.0,,-1.0
10047,1,1.0,,-1.0
10048,4,1.0,,-1.0
10049,1,1.0,,-1.0
1004,4,1.0,,-1.0
10050,2,1.0,,-1.0
10051,4,1.0,,-1.0
10052,4,1.0,,-1.0
10053,4,1.0,,-1.0
10054,1,1.0,,-1.0
10055,3,1.0,,-1.0
10056,2,1.0,,-1.0
10057,1,1.0,,-1.0
10058,1,1.0,,-1.0
10059,4,1.0,,-1.0
1005,3,1.0,,-1.0
10060,1,1.0,,-1.0
10061,4,1.0,,-1.0
10062,1,1.0,,-1.0
10063,1,1.0,,-1.0
10064,3,1.0,,-1.0
10065,2,1.0,,-1.0
10066,4,1.0,,-1.0
10067,3,1.0,,-1.0
10068,4,1.0,,-1.0
10069,1,1.0,,-1.0
1006,1,1.0,,-1.0
10070,3,1.0,,-1.0
10071,1,1.0,,-1.0
10072,1,1.0,,-1.0
10073,4,1.0,,-1.0
10074,2,1.0,,-1.0
10075,2,1.0,,-1.0
10076,4,1.0,,-1.0
10077,2,1.0,,-1.0
10078,1,1.0,,-1.0
10079,1,1.0,,-1.0
1007,1,1.0,,-1.0
10080,2,1.0,,-1.0
10081,1,1.0,,-1.0
10082,4,1.0,,-1.0
10083,1,1.0,,-1.0
10084,4,1.0,,-1.0
10085,3,1.0,,-1.0
10086,2,1.0,,-1.0
10087,4,1.0,,-1.0
10088,1,1.0,,-1.0
10089,1,1.0,,-1.0
1008,1,1.0,,-1.0
10090,1,1.0,,-1.0
10091,1,1.0,,-1.0
10092,1,1.0,,-1.0
10093,1,1.0,,-1.0
10094,1,1.0,,-1.0
10095,1,1.0,,-1.0
10096,1,1.0,,-1.0
10097,1,1.0,,-1.0
10098,1,1.0,,-1.0
10099,1,1.0,,-1.0
1009,4,1.0,,-1.0
100,3,1.0,,-1.0
10100,1,1.0,,-1.0
10101,1,1.0,,-1.0
10102,1,1.0,,-1.0
10103,1,1.0,,-1.0
10104,1,1.0,,-1.0
10105,1,1.0,,-1.0
10106,1,1.0,,-1.0
10107,1,1.0,,-1.0
10108,1,1.0,,-1.0
10109,1,1.0,,-1.0
1010,4,1.0,,-1.0
10110,1,1.0,,-1.0
10111,1,1.0,,-1.0
10112,1,1.0,,-1.0
10113,1,1.0,,-1.0
10114,1,1.0,,-1.0
10115,1,1.0,,-1.0
10116,1,1.0,,-1.0
10117,1,1.0,,-1.0
10118,4,1.0,,-1.0
10119,2,1.0,,-1.0
1011,2,1.0,,-1.0
10120,4,1.0,,-1.0
10121,3,1.0,,-1.0
