docName,dirName,idx,type,startByte,endByte,sentRow,wordLen,text,intensity,polarity,expression-intensity,attitude-type,attitude-uncertain
13.40.05-15087,20010620,75,GATE_expressive-subjectivity,718,748,11.0,30.0,suffering from tick bite fever,medium,neutral,,,
13.40.05-15087,20010620,24,GATE_direct-subjective,151,170,0.0,19.0,would probably know,low,neutral,low,,
13.40.05-15087,20010620,20,GATE_direct-subjective,594,598,13.0,4.0,said,neutral,,neutral,,
13.40.05-15087,20010620,19,GATE_expressive-subjectivity,633,654,13.0,21.0,would be negative too,medium,neutral,,,
13.40.05-15087,20010620,16,GATE_direct-subjective,671,682,11.0,11.0,his opinion,low,neutral,low,,
13.40.05-15087,20010620,15,GATE_direct-subjective,850,861,7.0,11.0,complaining,medium,negative,medium,,
13.40.05-15087,20010620,7,GATE_attitude,151,170,0.0,19.0,would probably know,low,,,other-attitude,
13.40.05-15087,20010620,5,GATE_attitude,633,654,13.0,21.0,would be negative too,low,,,arguing-pos,
13.40.05-15087,20010620,3,GATE_attitude,671,748,11.0,77.0,his opinion that the patient -- a woman -- was suffering from tick bite fever,low,,,arguing-pos,
13.40.05-15087,20010620,1,GATE_attitude,850,864,7.0,14.0,complaining of,low-medium,,,sentiment-neg,
23.46.20-17835,20010627,58,GATE_attitude,1782,1959,15.0,177.0,"It is believed that sand from northern areas, especially the Inner Mongolia Autonomous Region, and floating dust from the city's uncovered construction sites are the main causes",low-medium,,,arguing-pos,
23.46.20-17835,20010627,49,GATE_attitude,1488,1516,26.0,28.0,are also being encouraged to,low-medium,,,sentiment-pos,
23.46.20-17835,20010627,48,GATE_direct-subjective,1785,1796,15.0,11.0,is believed,low,neutral,low,,
23.46.20-17835,20010627,28,GATE_direct-subjective,1488,1513,26.0,25.0,are also being encouraged,low,positive,low,,
23.46.20-17835,20010627,26,GATE_expressive-subjectivity,1828,1838,15.0,10.0,especially,low,neutral,,,
00.48.42-17806,20010630,127,GATE_expressive-subjectivity,650,656,40.0,6.0,urgent,medium,neutral,,,
00.48.42-17806,20010630,123,GATE_expressive-subjectivity,3056,3069,45.0,13.0,just a signal,low,neutral,,,
00.48.42-17806,20010630,121,GATE_direct-subjective,3444,3458,36.0,14.0,are determined,low,neutral,low,,
00.48.42-17806,20010630,119,GATE_expressive-subjectivity,4035,4053,34.0,18.0,failing to support,low,negative,,,
