docName,dirName,idx,startByte,endByte,sentLen,annotsCount,text
13.40.05-15087,20010620,0,109,226,117.0,2.0,The Kimberley Provincial Hospital said it would probably know by Tuesday whether one of its patients had Congo Fever.
13.40.05-15087,20010620,1,514,581,67.0,0.0,A set of tests specifically for Congo fever were still outstanding.
13.40.05-15087,20010620,2,1154,1244,90.0,0.0,By afternoon she was conversing with her husband after being semi-comatose in the morning.
13.40.05-15087,20010620,3,233,507,274.0,0.0,Medical Department head Dr Hamid Saeed said the patient's blood had been sent to the Institute for Virology in Johannesburg for analysis and the results of the first two sets of tests -- for illnesses other than Congo fever -- arrived back on Monday night and were negative.
13.40.05-15087,20010620,4,1052,1147,95.0,0.0,Although the woman's condition had deteriorated on Sunday it was showing improvement on Monday.
13.40.05-15087,20010620,5,940,1045,105.0,0.0,The patient told hospital authorities she became sick after being bitten by a tick about four months ago.
13.40.05-15087,20010620,6,891,933,42.0,0.0,She also had a skin rash and was vomiting.
13.40.05-15087,20010620,7,793,884,91.0,2.0,The woman was admitted to the hospital on Saturday after complaining of severe joint pains.
13.40.05-15087,20010620,8,1667,1812,145.0,0.0,The disease can be contracted if a person is bitten by a certain tick or if a person comes into contact with the blood of a Congo Fever sufferer.
13.40.05-15087,20010620,9,756,786,30.0,0.0,The two have similar symptoms.
13.40.05-15087,20010620,10,1546,1660,114.0,0.0,"Early symptoms of the disease include severe headaches, red eyes, fevers and cold chills, body pain, and vomiting."
13.40.05-15087,20010620,11,656,749,93.0,3.0,He said it was his opinion that the patient -- a woman -- was suffering from tick bite fever.
13.40.05-15087,20010620,12,1436,1539,103.0,0.0,A total of 158 cases of Congo Fever were diagnosed in southern Africa between 1981 and the end of 2000.
13.40.05-15087,20010620,13,588,655,67.0,3.0,Saeed said indications were that those tests would be negative too.
13.40.05-15087,20010620,14,1251,1429,178.0,0.0,"Between one and 10 cases of Congo Fever are reported in South Africa annually, with about 20 to 25 percent of patients dying, according to statistics from the virology institute."
23.46.20-17835,20010627,0,1782,1960,178.0,3.0,"It is believed that sand from northern areas, especially the Inner Mongolia Autonomous Region, and floating dust from the city's uncovered construction sites are the main causes."
23.46.20-17835,20010627,1,765,862,97.0,0.0,Forestry experts said dry weather and temperature fluctuations were the main cause of sandstorms.
23.46.20-17835,20010627,2,1038,1150,112.0,0.0,"By 2005, 50 per cent of Beijing's land, including both urban and rural areas, will have been covered with trees."
23.46.20-17835,20010627,3,1604,1715,111.0,0.0,Favourable taxation policies will also be given to people engaged in the transformation of desertificated land.
23.46.20-17835,20010627,4,1722,1781,59.0,0.0,Beijing was struck by sandstorms several times this spring.
23.46.20-17835,20010627,5,1157,1279,122.0,0.0,"The green belts have helped protect the crops from sand, wind, drought and floods to guarantee grain production, Cai said."
23.46.20-17835,20010627,6,595,758,163.0,0.0,"A 200-metre belt of trees has been planted on each side of the Yongding, Chaobai, Dasha and Wenyu rivers, which was previously the city's most desertificated land."
23.46.20-17835,20010627,7,142,310,168.0,0.0,"""We planted trees mainly in the major five areas that are severely endangered by sandy wind,"" said Cai Baojun, an official with the bureau in charge of forest planting."
23.46.20-17835,20010627,8,2,135,133.0,0.0,"Beijing has completed the afforestation of 4,000 hectares over the past six months, the municipal forestry bureau revealed yesterday."
23.46.20-17835,20010627,9,1286,1459,173.0,0.0,"Over the next 10 years, China will invest 6 billion yuan (US$720 million) to prevent sandstorms hitting Beijing, according to sources from the State Forestry Administration."
23.46.20-17835,20010627,10,317,588,271.0,0.0,"The shifting dunes in Beijing's suburbs and rural areas have been successfully controlled by green barriers of trees and grass, which have also helped upgrade the city's forest proportion to 43 per cent, 23 percentage points higher than the nation's metropolitan average."
23.46.20-17835,20010627,11,1466,1597,131.0,2.0,"Private organizations are also being encouraged to help fight sandstorms, according to the administration's vice-director Li Yucai."
23.46.20-17835,20010627,12,869,1037,168.0,0.0,The repeated breaching of the embankments of the Yongding and Chaobai rivers also resulted in the desertification of the land with heavy sand being deposited by floods.
00.48.42-17806,20010630,0,2,247,245.0,0.0,"BRUSSELS, June 29 (AFP) -- Nearly 100 donor countries and international organizations opened their checkbooks here Friday to bail out struggling Yugoslavia after Slobodan Milosevic's lightning transfer to the UN war crimes tribunal in The Hague."
00.48.42-17806,20010630,1,1376,1578,202.0,1.0,"Labus said the United States, which had until the last minute been uncertain of attending the conference, contingent on Milosevic's extradition, pledged 181.6 million dollars during the morning session."
00.48.42-17806,20010630,2,4545,4646,101.0,0.0,The Stability Pact was launched two years ago to rebuild the region after years of war and communism.
00.48.42-17806,20010630,3,2648,2698,50.0,2.0,"""We decided to make some bold decisions,"" he said."
00.48.42-17806,20010630,4,254,468,214.0,4.0,"""Nobody is happy when a former president is taken before the tribunal in The Hague, but it had to happen and the sooner the better,"" Yugoslav Deputy Prime Minister Miroljub Labus told reporters on his arrival here."
00.48.42-17806,20010630,5,1675,1896,221.0,0.0,"Japanese Ambassador to the EU Takayuki Kimura said his country had pledged 50 million dollars, in addition to technical assistance and another 10 million dollars to the whole of southeast Europe, most of it to Yugoslavia."
00.48.42-17806,20010630,6,4017,4133,116.0,4.0,"""But the costs of failing to support Yugoslavia as it struggles to break with the past would surely be higher still."
00.48.42-17806,20010630,7,1023,1161,138.0,0.0,The European Commission anounced it had pledged a financial package of grants and loans totalling 530 million euros (450 million dollars).
00.48.42-17806,20010630,8,3285,3467,182.0,5.0,"""We are in the middle of a very complicated process of changing almost completely our political and economic system...This process is long and painful, but we are determined to win."""
00.48.42-17806,20010630,9,2507,2641,134.0,3.0,"We are now fully back into the international community, politically, diplomatically and financially, and that's very important for us."
00.48.42-17806,20010630,10,3931,4016,85.0,2.0,"""There is no quick fix"" to the Yugoslav problem, the World Bank's Johannes Linn said."
00.48.42-17806,20010630,11,4140,4309,169.0,3.0,"""The possibility of a democratic, stable and prosperous Yugoslavia moving toward integration with Europe is something which we dared not hope for only eight months ago."""
00.48.42-17806,20010630,12,475,733,258.0,2.0,"The donors' conference, co-sponsored by the European Commission and the World Bank, was hoping to raise 1.25 billion dollars (1.47 billion euros) for Yugoslavia this year for urgent repairs to infrastructure and salaries to teachers and other civil servants."
00.48.42-17806,20010630,13,1585,1668,83.0,0.0,A German source said Germany had pledged 153 million marks (66.32 million dollars).
00.48.42-17806,20010630,14,1168,1369,201.0,0.0,"""This pledge is in addition to the pledges of individual EU member states that will be made separately at the conference,"" said Gunnar Wiegand, spokesman for External Affairs Commissioner Chris Patten."
00.48.42-17806,20010630,15,1903,2179,276.0,1.0,"Johannes Linn, World Bank vice-president for Europe and Central Asia, said the bank had pledged 150 million dollars for the current calendar year and ""over the next three years we expect to support Yugoslavia to the tune of about 540 million US dollars in concessional loans."""
00.48.42-17806,20010630,16,2799,2982,183.0,4.0,"Labus said Milosevic's extradition ""is of course a part of the equation,"" but added ""broad economic reforms and democracy that we introduced into the country"" had played a major role."
00.48.42-17806,20010630,17,2989,3137,148.0,4.0,"""The fact that Milosevic is on the way to be brought to justice is just a signal that my country is ready to respect all international obligations."""
00.48.42-17806,20010630,18,3728,3924,196.0,3.0,"""A Yugoslavia that has a firm and decisive program of economic reforms in place is and is increasingly integrated into the wider international community is no longer a dream, it is now a reality."""
00.48.42-17806,20010630,19,4316,4538,222.0,3.0,"In Berlin, Bodo Hombach, coordinator of the Balkans Stability Pact, said several delegations to the Brussels conference told him it was now ""easier and more motivating"" to supply Belgrade with the aid it desperately needs."
00.48.42-17806,20010630,20,740,1016,276.0,1.0,"By midday, the conference had garnered pledges totalling some 1.37 billion dollars in grants and low- or no-interest loans over the next three years, against the target figure set by the World Bank of 3.9 billion dollars for what Belgrade would need for the three-year period."
00.48.42-17806,20010630,21,2186,2414,228.0,2.0,"Linn said that as a result of recent changes in Belgrade, including the Milosevic extradition, ""we will now be talking about Yugoslavia as an integral part of the successful formula of trust for economic recovery in the region."""
00.48.42-17806,20010630,22,2421,2506,85.0,2.0,"Aside from the financial assistance, said Labus, ""this conference is symbolic for us."
00.48.42-17806,20010630,23,2699,2792,93.0,1.0,"""We decided to take the fast track to Europe and implement directly the international rules."""
