index,docName,dirName,idx,startByte,endByte,sentLen,annotsCount,text,sentiment-measured,sentiment-type,sentiment-intensity
0,13.40.05-15087,20010620,0,109,226,117.0,2.0,The Kimberley Provincial Hospital said it would probably know by Tuesday whether one of its patients had Congo Fever.,1.0,0.0,0.0
7,13.40.05-15087,20010620,7,793,884,91.0,2.0,The woman was admitted to the hospital on Saturday after complaining of severe joint pains.,1.0,1.0,0.377240679554
11,13.40.05-15087,20010620,11,656,749,93.0,3.0,He said it was his opinion that the patient -- a woman -- was suffering from tick bite fever.,1.0,0.0,0.0
13,13.40.05-15087,20010620,13,588,655,67.0,3.0,Saeed said indications were that those tests would be negative too.,1.0,0.0,0.0
15,23.46.20-17835,20010627,0,1782,1960,178.0,3.0,"It is believed that sand from northern areas, especially the Inner Mongolia Autonomous Region, and floating dust from the city's uncovered construction sites are the main causes.",1.0,0.0,0.0
26,23.46.20-17835,20010627,11,1466,1597,131.0,2.0,"Private organizations are also being encouraged to help fight sandstorms, according to the administration's vice-director Li Yucai.",1.0,0.0,0.9375
29,00.48.42-17806,20010630,1,1376,1578,202.0,1.0,"Labus said the United States, which had until the last minute been uncertain of attending the conference, contingent on Milosevic's extradition, pledged 181.6 million dollars during the morning session.",1.0,0.0,0.0
31,00.48.42-17806,20010630,3,2648,2698,50.0,2.0,"""We decided to make some bold decisions,"" he said.",1.0,0.0,0.959375
32,00.48.42-17806,20010630,4,254,468,214.0,4.0,"""Nobody is happy when a former president is taken before the tribunal in The Hague, but it had to happen and the sooner the better,"" Yugoslav Deputy Prime Minister Miroljub Labus told reporters on his arrival here.",1.0,1.0,0.366834040118
34,00.48.42-17806,20010630,6,4017,4133,116.0,4.0,"""But the costs of failing to support Yugoslavia as it struggles to break with the past would surely be higher still.",1.0,1.0,0.374378853709
36,00.48.42-17806,20010630,8,3285,3467,182.0,5.0,"""We are in the middle of a very complicated process of changing almost completely our political and economic system...This process is long and painful, but we are determined to win.""",1.0,1.0,0.363998230871
37,00.48.42-17806,20010630,9,2507,2641,134.0,3.0,"We are now fully back into the international community, politically, diplomatically and financially, and that's very important for us.",1.0,0.0,0.94875
38,00.48.42-17806,20010630,10,3931,4016,85.0,2.0,"""There is no quick fix"" to the Yugoslav problem, the World Bank's Johannes Linn said.",1.0,0.0,-0.96
39,00.48.42-17806,20010630,11,4140,4309,169.0,3.0,"""The possibility of a democratic, stable and prosperous Yugoslavia moving toward integration with Europe is something which we dared not hope for only eight months ago.""",1.0,0.0,0.964583333333
40,00.48.42-17806,20010630,12,475,733,258.0,2.0,"The donors' conference, co-sponsored by the European Commission and the World Bank, was hoping to raise 1.25 billion dollars (1.47 billion euros) for Yugoslavia this year for urgent repairs to infrastructure and salaries to teachers and other civil servants.",1.0,0.0,0.81125
43,00.48.42-17806,20010630,15,1903,2179,276.0,1.0,"Johannes Linn, World Bank vice-president for Europe and Central Asia, said the bank had pledged 150 million dollars for the current calendar year and ""over the next three years we expect to support Yugoslavia to the tune of about 540 million US dollars in concessional loans.""",1.0,0.0,0.99375
