Role,Name,Length,Position,Information
justice,KENNEDY,1,0.0,0.007575757575757576
justice,SCALIA,2,0.007575757575757576,0.015151515151515152
justice,GINSBURG,1,0.022727272727272728,0.007575757575757576
justice,ROBERTS,1,0.030303030303030304,0.007575757575757576
justice,KAGAN,3,0.03787878787878788,0.022727272727272728
justice,SOTOMAYOR,1,0.06060606060606061,0.007575757575757576
justice,KAGAN,3,0.06818181818181818,0.022727272727272728
justice,ROBERTS,4,0.09090909090909091,0.030303030303030304
justice,BREYER,1,0.12121212121212122,0.007575757575757576
justice,SCALIA,6,0.12878787878787878,0.045454545454545456
justice,KENNEDY,7,0.17424242424242425,0.05303030303030303
justice,ALITO,8,0.22727272727272727,0.06060606060606061
justice,GINSBURG,3,0.2878787878787879,0.022727272727272728
justice,KENNEDY,1,0.3106060606060606,0.007575757575757576
justice,SCALIA,1,0.3181818181818182,0.007575757575757576
justice,ALITO,6,0.32575757575757575,0.045454545454545456
justice,BREYER,4,0.3712121212121212,0.030303030303030304
justice,SCALIA,1,0.4015151515151515,0.007575757575757576
justice,KAGAN,5,0.4090909090909091,0.03787878787878788
justice,SCALIA,1,0.44696969696969696,0.007575757575757576
justice,ROBERTS,6,0.45454545454545453,0.045454545454545456
justice,SCALIA,1,0.5,0.007575757575757576
justice,KENNEDY,1,0.5075757575757576,0.007575757575757576
justice,BREYER,1,0.5151515151515151,0.007575757575757576
justice,SREYER,1,0.5227272727272727,0.007575757575757576
justice,SOTOMAYOR,1,0.5303030303030303,0.007575757575757576
justice,BREYER,3,0.5378787878787878,0.022727272727272728
justice,SOTOMAYOR,1,0.5606060606060606,0.007575757575757576
justice,BREYER,1,0.5681818181818182,0.007575757575757576
justice,SOTOMAYOR,1,0.5757575757575758,0.007575757575757576
justice,ROBERTS,2,0.5833333333333334,0.015151515151515152
justice,KENNEDY,3,0.5984848484848485,0.022727272727272728
justice,KAGAN,6,0.6212121212121212,0.045454545454545456
justice,KENNEDY,1,0.6666666666666666,0.007575757575757576
justice,BREYER,1,0.6742424242424242,0.007575757575757576
justice,SOTOMAYOR,3,0.6818181818181818,0.022727272727272728
justice,KENNEDY,1,0.7045454545454546,0.007575757575757576
justice,ROBERTS,3,0.7121212121212122,0.022727272727272728
justice,SOTOMAYOR,4,0.7348484848484849,0.030303030303030304
justice,GINSBURG,1,0.7651515151515151,0.007575757575757576
justice,ALITO,1,0.7727272727272727,0.007575757575757576
justice,BREYER,1,0.7803030303030303,0.007575757575757576
justice,SREYER,1,0.7878787878787878,0.007575757575757576
justice,BREYER,3,0.7954545454545454,0.022727272727272728
justice,SCALIA,2,0.8181818181818182,0.015151515151515152
justice,KAGAN,2,0.8333333333333334,0.015151515151515152
justice,ROBERTS,1,0.8484848484848485,0.007575757575757576
justice,SCALIA,3,0.8560606060606061,0.022727272727272728
justice,KENNEDY,1,0.8787878787878788,0.007575757575757576
justice,KAGAN,2,0.8863636363636364,0.015151515151515152
justice,SOTOMAYOR,1,0.9015151515151515,0.007575757575757576
justice,ALITO,3,0.9090909090909091,0.022727272727272728
justice,ROBERTS,1,0.9318181818181818,0.007575757575757576
justice,SCALIA,3,0.9393939393939394,0.022727272727272728
justice,ALITO,1,0.9621212121212122,0.007575757575757576
justice,ROBERTS,2,0.9696969696969697,0.015151515151515152
