Role,Name,Followee Role,Followee Name,Position
justice,KENNEDY,justice,ROBERTS,0.0151515151515
justice,SCALIA,justice,KENNEDY,0.030303030303
justice,GINSBURG,justice,SCALIA,0.0378787878788
justice,ROBERTS,justice,GINSBURG,0.0454545454545
justice,KAGAN,justice,ROBERTS,0.0681818181818
justice,SOTOMAYOR,justice,KAGAN,0.0757575757576
justice,KAGAN,justice,SOTOMAYOR,0.0984848484848
justice,ROBERTS,justice,KAGAN,0.128787878788
justice,BREYER,justice,ROBERTS,0.136363636364
justice,SCALIA,justice,BREYER,0.181818181818
justice,KENNEDY,justice,SCALIA,0.234848484848
justice,ALITO,justice,KENNEDY,0.295454545455
justice,GINSBURG,justice,ALITO,0.318181818182
justice,KENNEDY,justice,GINSBURG,0.325757575758
justice,SCALIA,justice,KENNEDY,0.333333333333
justice,ALITO,justice,SCALIA,0.378787878788
justice,BREYER,justice,ALITO,0.409090909091
justice,SCALIA,justice,BREYER,0.416666666667
justice,KAGAN,justice,SCALIA,0.454545454545
justice,SCALIA,justice,KAGAN,0.462121212121
justice,ROBERTS,justice,SCALIA,0.507575757576
justice,SCALIA,justice,ROBERTS,0.515151515152
justice,KENNEDY,justice,SCALIA,0.522727272727
justice,BREYER,justice,KENNEDY,0.530303030303
justice,SREYER,justice,BREYER,0.537878787879
justice,SOTOMAYOR,justice,SREYER,0.545454545455
justice,BREYER,justice,SOTOMAYOR,0.568181818182
justice,SOTOMAYOR,justice,BREYER,0.575757575758
justice,BREYER,justice,SOTOMAYOR,0.583333333333
justice,SOTOMAYOR,justice,BREYER,0.590909090909
justice,ROBERTS,justice,SOTOMAYOR,0.606060606061
justice,KENNEDY,justice,ROBERTS,0.628787878788
justice,KAGAN,justice,KENNEDY,0.674242424242
justice,KENNEDY,justice,KAGAN,0.681818181818
justice,BREYER,justice,KENNEDY,0.689393939394
justice,SOTOMAYOR,justice,BREYER,0.712121212121
justice,KENNEDY,justice,SOTOMAYOR,0.719696969697
justice,ROBERTS,justice,KENNEDY,0.742424242424
justice,SOTOMAYOR,justice,ROBERTS,0.772727272727
justice,GINSBURG,justice,SOTOMAYOR,0.780303030303
justice,ALITO,justice,GINSBURG,0.787878787879
justice,BREYER,justice,ALITO,0.795454545455
justice,SREYER,justice,BREYER,0.80303030303
justice,BREYER,justice,SREYER,0.825757575758
justice,SCALIA,justice,BREYER,0.840909090909
justice,KAGAN,justice,SCALIA,0.856060606061
justice,ROBERTS,justice,KAGAN,0.863636363636
justice,SCALIA,justice,ROBERTS,0.886363636364
justice,KENNEDY,justice,SCALIA,0.893939393939
justice,KAGAN,justice,KENNEDY,0.909090909091
justice,SOTOMAYOR,justice,KAGAN,0.916666666667
justice,ALITO,justice,SOTOMAYOR,0.939393939394
justice,ROBERTS,justice,ALITO,0.94696969697
justice,SCALIA,justice,ROBERTS,0.969696969697
justice,ALITO,justice,SCALIA,0.977272727273
justice,ROBERTS,justice,ALITO,0.992424242424
